Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
Chuyên Viên Kế Toán Công Nợ,['Hà Nội'],27/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Kế toán / Kiểm toán",Nhân viên chính thức,10 Tr - 13 Tr VND,Trên 3 Năm,Nhân viên,30/11/2024,NHÀ SÁCH TIẾN THỌ,424 Nguyễn Trãi- Thanh Xuân - Hà Nội,Bộ phận tuyển dụng Tiến Thọ,Cổ phần,1.000-4.999
NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG,['Tây Ninh'],27/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,5 Tr - 12 Tr VND,,Nhân viên,08/12/2024,CÔNG TY TNHH JM,"Tòa Nhà Bình An Square, 18A Đường số 38, Khu phố 1, Phường An Khánh, Thành Phố Thủ Đức",Công ty TNHH JM,Trách nhiệm hữu hạn,25-99
Chuyên Viên Nhân sự (C&B),['Hà Nội'],27/11/2024,Nhân sự,Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,30/11/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,"Số 1 Trần Nguyên Đán, KĐT mới Định Công, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Bộ Phận Tuyển Dụng,Cổ phần,100-499
IT Helpdesk - Nhân viên công nghệ thông tin,['Long An'],27/11/2024,"Xuất nhập khẩu , Sản xuất / Vận hành sản xuất , Đồ gỗ",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH MAKER SIXTY FOUR,"Lô E2, đường số 1, KCN Tân Đô, xã Đức Hòa Hạ, huyện Đức Hòa, tỉnh Long An",HR Dept.,100% vốn nước ngoài,500-999
QA ASSISTANT MANAGER,['Quảng Ngãi'],27/11/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,Trên 18 Tr VND,5 - 7 Năm,Quản lý,06/12/2024,CÔNG TY TNHH ĐIỆN TỬ SUMIDA QUẢNG NGÃI,"Khu Công Nghiệp Tịnh Phong, Thành phố Quảng Ngãi, Quảng Ngãi, Việt Nam",Ms Điệp,,1.000-4.999
Nhân viên bán hàng xuất nhập khẩu,['Hà Nội'],26/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Xuất nhập khẩu",Nhân viên chính thức,10 Tr - 30 Tr VND,,Nhân viên,03/12/2024,CÔNG TY CỔ PHẦN ARTEX GREEN EARTH,"B28-LK 10-07, Khu đô thị mới hai bên đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,
[A9] Không Yêu Cầu Kinh Nghiệm - Tuyển Nhân Viên Tư Vấn Dịch Vụ Đối Tác Ngân Hàng Quốc Tế Singapore,['Hà Nội'],06/12/2024,"An toàn lao động , An Ninh / Bảo Vệ , Bảo hiểm",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,04/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
[A9] Phạm Văn Đồng - Tuyển Nhân Viên Kiểm Duyệt Hồ Sơ Nhà Mạng Viettel,['Hà Nội'],06/12/2024,"An toàn lao động , An Ninh / Bảo Vệ",Nhân viên chính thức,"6,5 Tr - 9 Tr VND",,Nhân viên,04/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
CVCC Quản trị hệ thống (HR system) - Hà Nội - TA133,['Hà Nội'],26/11/2024,"CNTT - Phần mềm , Ngân hàng , Hành chính / Thư ký",Nhân viên chính thức,Cạnh tranh,4 - 6 Năm,Nhân viên,13/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Nhân viên Kinh doanh (Ngành Hóa chất),['Hà Nội'],26/11/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , Hóa học",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY CP XNK HÓA CHẤT & THIẾT BỊ KIM NGƯU,41 Phố Trạm - Long Biên - Hà Nội,Ms.Linh,Cổ phần,500-999
Kỹ thuật ME( Tiếng Trung/Tiếng Anh),['Hà Nam'],26/11/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,05/11/2024,CÔNG TY TNHH QISDA VIỆT NAM,"Lô CN-12, Khu công nghiệp Đồng Văn IV, Xã Nhật Tân, Xã Đại Cương, Huyện Kim Bảng, Tỉnh Hà Nam, Việt Nam",Phòng Nhân sự,100% vốn nước ngoài,8000
"Chuyên gia quản lý rủi ro an ninh thông tin, Phòng Quản trị rủi ro hoạt động, Khối Quản trị rủi ro",['Hà Nội'],26/11/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Nhân viên,04/12/2024,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,Cổ phần,1.000-4.999
"Chuyên viên phát triển đối tac thẻ, Phòng Phát triển sản phẩm thẻ và đối tác thẻ, Khối Khách hàng cá nhân",['Hà Nội'],26/11/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,05/11/2024,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,Cổ phần,1.000-4.999
Horeca Sales Executive - Da Nang,['Đà Nẵng'],26/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,20/12/2024,INDOGUNA VINA FOOD SERVICE (INDV),"248A Nơ Trang Long,Phường 12,Quận Bình Thạnh,",HR Department,Công ty đa quốc gia,
TRƯỞNG NHÓM MEDIA,['Hà Nội'],26/11/2024,"Dược phẩm , Quảng cáo / Đối ngoại / Truyền Thông , Tiếp thị trực tuyến",Nhân viên chính thức,"800 - 1,500 USD",2 - 5 Năm,Quản lý,07/12/2024,VIETMEC - CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,"Số 139 Đường Hồng Tiến, P. Bồ Đề, Q. Long Biên, TP. Hà Nội",Phòng HCNS,Cổ phần,
TỔ TRƯỞNG HSE,['Tiền Giang'],26/11/2024,"Môi trường , Dệt may / Da giày / Thời trang , Ngành khác",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 10 Năm,Trưởng nhóm / Giám sát,31/01/2025,CÔNG TY TNHH GIÀY APACHE VIỆT NAM,"Lô 71A, 72A, 78A, 79, 127B, 128A, 128B, 128C – KCN Long Giang, Tân Lập 1, Tân Phước, Tiền Giang",Phòng Nhân Sự,100% vốn nước ngoài,5500
[C2] Tuyển Dụng Nhân Viên Tư Vấn - Telesale Thẻ Ngân Hàng Quốc Tế,['Hà Nội'],06/12/2024,"Chứng khoán , Dược phẩm , Trắc địa / Địa Chất",Nhân viên chính thức,7 Tr - 15 Tr VND,,Nhân viên,04/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
[C2] Tuyển Dụng Nhân Viên Tư Vấn - Telesale Thẻ Ngân Hàng Quốc Tế,['Hà Nội'],06/12/2024,"Chứng khoán , Dược phẩm , Trắc địa / Địa Chất",Nhân viên chính thức,7 Tr - 15 Tr VND,,Nhân viên,04/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
"KỸ SƯ THIẾT KẾ CƠ KHÍ (THIẾT KẾ TỦ, BẢNG ĐIỆN)",[],,,,,,,,,,,,
KỸ THUẬT MÁY ÉP NHỰA,['Bà Rịa - Vũng Tàu'],26/11/2024,"Điện / Điện tử / Điện lạnh , Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,8 Tr - 15 Tr VND,Trên 2 Năm,Nhân viên,30/11/2024,DAEYOUNG ELECTRONICS VINA,"Lô HT-2-1, Đường D2, Khu Công Nghệ Cao, P. Tăng Nhơn Phú B, Quận 9, TPHCM",Ms. Hồng Liên,100% vốn nước ngoài,
Nhân viên Kinh doanh - Hải Dương,['Hải Dương'],26/11/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,15 Tr - 30 Tr VND,Lên đến 1 Năm,Nhân viên,07/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Giao Dịch Viên - Đà Lạt - TA153,['Lâm Đồng'],26/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,,Nhân viên,17/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Chuyên viên Thu hồi nợ qua điện thoại - Hà Nội - TA156,['Hà Nội'],26/11/2024,"Bán hàng / Kinh doanh , Ngân hàng , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,19/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"CV/CVC/CVCC Tư vấn tài chính khách hàng Tiểu thương - Long An, Bạc Liêu - TA152",['Bạc Liêu'],26/11/2024,"Bất động sản , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"Chuyên viên Phát triển thị trường - Cà Mau, Sóc Trăng - TA152","['Cà Mau', 'Sóc Trăng']",06/12/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,04/01/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Chuyên Viên Sale Marketing,['Đồng Nai'],26/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,,Nhân viên,05/12/2024,CÔNG TY TNHH TOPBAND SMART ĐỒNG NAI (VIỆT NAM),"Lô D, KCN Lộc An - Bình Sơn, xã Long An, huyện Long Thành, tỉnh Đồng Nai",Monica,100% vốn nước ngoài,1.000-4.999
"Chuyên viên Phát triển thị trường - Đồng Tháp, Châu Đốc - TA152","['Đồng Tháp', 'An Giang']",26/11/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"Chuyên viên Quan Hệ Khách Hàng Tín Dụng Tiểu Thương - Long An, Châu Đốc - TA152","['Long An', 'An Giang']",26/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"CV/CVC/CVCC Tư vấn tài chính khách hàng Tiểu thương - Quảng Ngãi, Gia Lai - TA152","['Gia Lai', 'Quảng Ngãi']",26/11/2024,"Bất động sản , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
TRƯỞNG PHÒNG TUYỂN DỤNG,['Hà Nội'],26/11/2024,"Nhân sự , Dược phẩm",Nhân viên chính thức,"800 - 2,000 USD",3 - 5 Năm,Quản lý,07/12/2024,VIETMEC - CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,"Số 139 Đường Hồng Tiến, P. Bồ Đề, Q. Long Biên, TP. Hà Nội",Phòng HCNS,Cổ phần,
Nhân Viên Kho Nhà Máy - An Giang,['An Giang'],26/11/2024,"Vận chuyển / Giao nhận / Kho vận , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,07/12/2024,CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Cổ phần,Hơn 2500
Medical Sales Representative (Trình Dược Viên) - Part-time (Đồng Nai - Bình Dương),['Đồng Nai'],26/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Bán thời gian,7 Tr - 8 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH DOCQUITY VIỆT NAM,"Tầng 5 Số 111 Phố Trung Phụng, Phường Thổ Quan, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Mr An,Trách nhiệm hữu hạn,25-99
Chuyên Viên Kinh Doanh Miền Bắc,['Hà Nội'],26/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,10 Tr - 30 Tr VND,,Nhân viên,05/12/2024,TẬP ĐOÀN NHỰA BÌNH THUẬN,"121-123 Lâm Hạ, Bồ Đề, Long Biên, Hà Nội",Ban Nhân sự,Cổ phần,500-999
Medical Sales Representative (Trình Dược Viên) - Part-time (Đà Nẵng - Huế),['Đà Nẵng'],26/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Bán thời gian,7 Tr - 8 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH DOCQUITY VIỆT NAM,"Tầng 5 Số 111 Phố Trung Phụng, Phường Thổ Quan, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Mr An,Trách nhiệm hữu hạn,25-99
Medical Sales Representative (Trình Dược Viên) - Part-time (Hải Phòng),['Hải Phòng'],26/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Bán thời gian,7 Tr - 8 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH DOCQUITY VIỆT NAM,"Tầng 5 Số 111 Phố Trung Phụng, Phường Thổ Quan, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Mr An,Trách nhiệm hữu hạn,25-99
Trợ Lý Dự Án Mua Sắm,['Hưng Yên'],26/11/2024,"Hành chính / Thư ký , Thu mua / Vật tư",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,05/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHIỆP VIỆT HƯNG,"Khu công nghiệp dệt may Phố Nối, Xã Liêu Xá, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam",HR,Cổ phần,
Nhân viên kế toán thống kê,['Yên Bái'],26/11/2024,"Hành chính / Thư ký , Kế toán / Kiểm toán , Khoáng sản",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,30/11/2024,CÔNG TY CP KHOÁNG SẢN CÔNG NGHIỆP YÊN BÁI,Khu CN phía Nam TP Yên Bái,Tuyển dụng YBM,Cổ phần,100-499
Kế toán tổng hợp,['Hà Nội'],26/11/2024,"Bất động sản , Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,03/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VĂN PHÚ - INVEST,Tòa nhà Văn Phú - Số 104 Thái Thịnh - Trung Liệt - Đống Đa - Hà Nội,Ban Quản trị Nguồn Nhân lực,Cổ phần,
Nhân Viên Kinh Doanh Khách đoàn Du lịch Nội địa - Chi nhánh Saigontourist Nha Trang,['Khánh Hòa'],26/11/2024,"Du lịch , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,19/11/2024,CÔNG TY TNHH MTV DỊCH VỤ LỮ HÀNH SAIGONTOURIST,"Văn phòng chính: 45 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TpHCM- Trung tâm Dịch vụ Việc làm Ngoài nước SAIGONTOURIST - 19 Hoàng Việt Phường 4 Quận Tân Bình TpHCM (Đối với các ứng viên ứng tuyển vị trí thuyền viên)",Ms. Minh Trí,Trách nhiệm hữu hạn,Trên 1000 nhân viên
Nhân viên Kinh doanh - Vĩnh Phúc,['Vĩnh Phúc'],26/11/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,15 Tr - 30 Tr VND,Trên 1 Năm,Nhân viên,07/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Nhân Viên Tư Vấn Bán Hàng,['Hà Nội'],06/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,7 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,04/01/2025,CÔNG TY TNHH ONE-VALUE VIỆT NAM,"Tầng 14 toà nhà Việt Á, số 9 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HR Dept.,Trách nhiệm hữu hạn,25-99
Nhân viên kỹ thuật bán hàng tại Hà Nội,['Hà Nội'],06/12/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,6 Tr - 25 Tr VND,,Nhân viên,04/01/2025,CÔNG TY CP CƠ KHÍ TÂN MINH,Tại Hà Nội - Đà Nẵng và Hồ Chí Minh theo địa chỉ ở trên,Nguyễn Thành Đức,Cổ phần,100-499
"Chuyên viên Phát triển thị trường - Quảng Trị, Huế - TA152","['Quảng Trị', 'Thừa Thiên- Huế']",26/11/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Thợ sửa chữa ô tô - máy móc,['Dak Nông'],26/11/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,13 Tr - 16 Tr VND,1 - 2 Năm,Nhân viên,05/12/2024,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,"Số 36 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HR THQ,Trách nhiệm hữu hạn,1.000-4.999
Nhân Viên Kế Hoạch Vật Tư,['Hà Nội'],06/12/2024,Thu mua / Vật tư,Nhân viên chính thức,7 Tr - 9 Tr VND,Trên 1 Năm,Nhân viên,04/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRẦN GIA,"Đại Lộ, Ninh Sở, Thường Tín, Hà Nội",Trangiafurniture,Cổ phần,100-499
Kỹ sư cơ điện,['Dak Nông'],26/11/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,17 Tr - 25 Tr VND,3 - 5 Năm,Nhân viên,05/12/2024,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,"Số 36 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HR THQ,Trách nhiệm hữu hạn,1.000-4.999
Chuyên viên Phát triển thị trường - Bình Thuận - TA152,['Bình Thuận'],06/12/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,04/01/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"[KCN Amata, Biên Hòa, Đồng Nai] Cố vấn Kỹ thuật (18Tr-20Tr) (25072)",['Đồng Nai'],26/11/2024,"Cơ khí / Ô tô / Tự động hóa , Hóa học , Bảo trì / Sửa chữa",Nhân viên chính thức,18 Tr - 20 Tr VND,1 - 5 Năm,Nhân viên,01/12/2024,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
[A9] Phạm Văn Đồng - Tuyển Kiểm Duyệt Viên Nhà Mạng Viettel,['Hà Nội'],26/11/2024,"An toàn lao động , An Ninh / Bảo Vệ",Nhân viên chính thức,"6,5 Tr - 9 Tr VND",,Nhân viên,05/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Trưởng Phòng Kinh Doanh - Lâm Đồng - TA152,['Lâm Đồng'],26/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Quản lý,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"[KCN Aurora, Nam Định] Nhân viên Quản lý Sản xuất (15Tr-20Tr) (25090)",['Nam Định'],26/11/2024,"Quản lý điều hành , Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 5 Năm,Nhân viên,01/12/2024,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
"Trưởng Phòng Kinh Doanh - Bình Định, Bình Thuận - TA152","['Bình Định', 'Bình Thuận']",26/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Quản lý,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"[KCN Long Hậu, Long An] Nhân viên Vận hành máy (8Tr-15Tr) (25086)",['Long An'],26/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 5 Năm,Nhân viên,01/12/2024,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
Site Merchandising Coordinator,['Đà Nẵng'],26/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,30/12/2024,LOVEPOP VIETNAM,"Tầng 2, tòa nhà Indochina Riverside Đà Nẵng",Ms. Vy,Trách nhiệm hữu hạn,500-999
"Trưởng Phòng Kinh Doanh - Đà Nẵng, Huế - TA152","['Thừa Thiên- Huế', 'Đà Nẵng']",26/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Quản lý,19/11/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"[Remote, Hà Nội] Trưởng Phòng Kinh Doanh Dự Án (25091)",['Hà Nội'],26/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Quản lý,01/12/2024,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
Chuyên Viên Cao cấp Quan Hệ Khách Hàng Doanh Nghiệp Vi Mô – Hà Nội - TA154,['Hà Nội'],06/12/2024,"Bán hàng / Kinh doanh , Ngân hàng , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,04/01/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
"[KCN Tân Trường, Hải Dương] Nhân Viên Quản Lý Kho (12Tr-16Tr) (25089)",['Hải Dương'],26/11/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu , Thu mua / Vật tư",Nhân viên chính thức,12 Tr - 16 Tr VND,1 - 5 Năm,Nhân viên,01/12/2024,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
