Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
Bác sĩ Nội - Hồi sức cấp cứu,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN HAMO HOLDINGS,"Số 105, phố Trần Quốc Hoàn, tổ 02, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam",hr,500-999,Cá nhân,10/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,31/12/2024
Campaign Planner Executive,['Hồ Chí Minh'],SOCTRIP,"400/8B - 400/10 Ung Văn Khiêm, phường 25, quận Bình Thạnh, TP. HCM",HRA Dept.,100-499,Công ty đa quốc gia,10/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,26/12/2024
Nhân Viên Kinh Doanh Kênh Sỉ,['Hồ Chí Minh'],,,,,,10/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,26/12/2024
Nhân Viên Kỹ Thuật Tòa Nhà (Tòa nhà Pasteur Tower),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN GOODY GROUP,"139 Pasteur, Phường Võ Thị Sáu, Quận 3, Tp. HCM",HR Dept,100-499,Cổ phần,10/12/2024,Bảo trì / Sửa chữa,Nhân viên chính thức,8 Tr - 10 Tr VND,2 - 3 Năm,Nhân viên,07/12/2024
,[],,,,,,,,,,,,
Internal Auditor,['Hồ Chí Minh'],,,,,,10/12/2024,"Luật / Pháp lý , Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,4 - 6 Năm,Nhân viên,25/12/2024
NHÂN VIÊN THIẾT KẾ,[],,,,,,,,,,,,
PG SAMPLING BÁN HÀNG ( Hồ Chí Minh),['Hồ Chí Minh'],,,,,,09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,9 Tr - 12 Tr VND,,Nhân viên,24/12/2024
Graphic Designer (District 9),['Hồ Chí Minh'],TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,10.000-19.999,100% vốn nước ngoài,09/12/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,25/12/2024
CHUYÊN VIÊN HẬU KỲ HÌNH ẢNH (VFX & MOTION),['Hồ Chí Minh'],CÔNG TY TNHH QUẢNG CÁO VÀ DỊCH VỤ N&D,"95 Pasteur, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Cao Thi Hong Nhung,25-99,Trách nhiệm hữu hạn,09/12/2024,"Quảng cáo / Đối ngoại / Truyền Thông , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,Trên 10 Tr VND,1 - 2 Năm,Nhân viên,22/01/2025
Kế Toán Trưởng Tập Đoàn,['Hồ Chí Minh'],,,,,,09/12/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Quản lý,25/12/2024
[Hồ Chí Minh]_Nhân Viên Kinh Doanh Vật Liệu Xây Dựng,['Hồ Chí Minh'],,,,,,09/12/2024,"Bán hàng / Kinh doanh , Xây dựng , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,25/12/2024
Nhân Viên Kinh Doanh Thương Mại Điện Tử,['Hồ Chí Minh'],CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI YẾN VIỆT THIÊN NHIÊN,"96 Trần Nguyên Đán, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn,09/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,25/12/2024
Chuyên viên Marketing,['Hồ Chí Minh'],CÔNG TY TNHH MTV KỸ THUẬT TÚ LỘC,"354 Quốc Lộ 1A, P. Bình Hưng Hòa B, Q. Bình Tân, Tp. Hồ Chí Minh",Ms. Phượng,25-99,Cá nhân,06/12/2024,Tiếp thị / Marketing,Nhân viên chính thức,10 Tr - 14 Tr VND,2 - 3 Năm,Nhân viên,22/11/2024
Trưởng nhóm Digital (Campaign Planner),['Hồ Chí Minh'],CÔNG TY TNHH TẬP ĐOÀN SETSAIL,"36 Đường Nội Khu Hưng Gia 1, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn,06/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,18 Tr - 24 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,31/12/2024
"Nhân Viên Kinh Doanh - Gò Vấp, Bình Thạnh",['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,06/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tư vấn",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,30/11/2024
SENIOR MARKET INTELLIGENCE EXECUTIVE,[],,,,,,,,,,,,
"JAPANESE IT COMTOR (TIẾNG NHẬT N2, LÀM VIỆC REMOTE, THU NHẬP LÊN ĐẾN 23 TRIỆU)",[],,,,,,,,,,,,
Account Manager (Event Agency),['Hồ Chí Minh'],CÔNG TY TNHH PER-FECTIV VIỆT NAM,"Lầu 6, 85 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1",Ms. Bùi Dương Minh Châu,25-99,Nhà nước,05/12/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,31/12/2024
2 Nhân Viên Kế Hoạch Cắt và Kế Hoạch Mẫu,['Hồ Chí Minh'],"CÔNG TY TNHH, LIÊN DOANH VĨNH HƯNG (TMI VIỆT NAM)","1365/1 Quốc Lộ 1A, P. An Phú Đông, Quận 12, TP.HCM",HR dept,5.000-9.999,Công ty đa quốc gia,05/12/2024,"Thống kê , Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang",Nhân viên chính thức,8 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[Hồ Chí Minh] Nhân viên hành chính kế toán - Đi làm sau tết,"['Long An', 'Hồ Chí Minh']",CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần,05/12/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Kế toán / Kiểm toán",Nhân viên chính thức,6 Tr - 7 Tr VND,1 - 2 Năm,Nhân viên,21/12/2024
NHÂN VIÊN CÓ TIẾNG NHẬT,['Hồ Chí Minh'],CÔNG TY TNHH CA ADVANCE VIỆT NAM,"Lầu 13 và Lầu 21, Centec Tower, số 72-74 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Ms. Ngân,100-499,Trách nhiệm hữu hạn,06/12/2024,"Biên phiên dịch , Ngành khác , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,450 - 800 USD,,Nhân viên,31/12/2024
[White Palace Phạm Văn Đồng] - Tài Xế Xe Tải (Dấu B2),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN IN HOLDINGS,"194 Hoàng Văn Thụ, Phường 09, Quận Phú Nhuận,",Hr Department,500-999,Cổ phần,06/12/2024,Ngành khác,Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,22/12/2024
Lab Engineer/ Senior Lab Engineer - District 9,['Hồ Chí Minh'],TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,10.000-19.999,100% vốn nước ngoài,06/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,3 - 7 Năm,Nhân viên,22/12/2024
Product Manager (Air Conditioner),['Hồ Chí Minh'],TCL (VIETNAM) CORPORATION LIMITED,"5th Floors, Lottery Tower, No. 77 Tran Nhan Ton Street, Ward 9, District 5, Ho Chi Minh City",HR Dept.,,100% vốn nước ngoài,04/12/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Trưởng nhóm / Giám sát,31/12/2024
Thực Tập Sinh Kỹ Thuật (Technician Intern),['Hồ Chí Minh'],SAVILLS VIETNAM,"Doji Tower, 81 - 85 Ham Nghi Street, District 1, HCMC, Vietnam",Ms. Tu Nuy,1.000-4.999,Công ty đa quốc gia,04/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa , Nhà hàng / Khách sạn",Thực tập,Cạnh tranh,,Sinh viên/ Thực tập sinh,20/12/2024
Business Development Executive,['Hồ Chí Minh'],CÔNG TY TNHH I-DAC VIỆT NAM,"Lầu 1, Tòa nhà E.Town Central, 11 Đoàn Văn Bơ, Phường 13, Quận 4, TP. Hồ Chí Minh",Ms. Linh,25-99,Trách nhiệm hữu hạn,04/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,20/12/2024
O2O Influencer Lead,['Hồ Chí Minh'],,,,,,04/12/2024,Tiếp thị / Marketing,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,31/12/2024
[Suối Tiên/Sơn Tiên] -Nhân viên Sales,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN THÀNH PHỐ DU LỊCH SINH THÁI SƠN TIÊN,"Ql51, Khu phố 4, Phường An Hoà, Biên Hoà, Đồng Nai",SƠN TIÊN - PHÒNG NHÂN SỰ,500-999,Cổ phần,05/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Du lịch",Nhân viên chính thức,Cạnh tranh,,Nhân viên,21/12/2024
NHÂN VIÊN NGHIÊN CỨU PHÁT TRIỂN SẢN PHẨM ( R&D),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN FAMART,"Lầu 5, Tòa nhà Pax Sky, 34 A Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 03, TP Hồ Chí Minh",Ms. Kiều,25-99,Cổ phần,28/11/2024,"Y tế / Chăm sóc sức khỏe , Hàng gia dụng / Chăm sóc cá nhân",Nhân viên chính thức,10 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,27/11/2024
Nhân Viên Livestream (Lĩnh vực Mỹ Phẩm),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN ĐẦU TƯ DƯỢC PHẨM HTP,"242 Cộng Hòa, phường 12, quận Tân Bình, TP.HCM",Phòng nhân sự,100-499,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,12 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,20/12/2024
Nhân Viên Kinh Doanh Nhà hàng khách sạn - HCM,['Hồ Chí Minh'],CÔNG TY TNHH TM & XNK NHẤT LÂM,"Lô H18 + H19, Ngõ 68, Trung Kính, Yên Hòa",Phòng Hành chính Nhân sự,,Trách nhiệm hữu hạn,10/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,"13,5 Tr - 20 Tr VND",,Nhân viên,18/12/2024
TP.HCM - Chuyên viên Khách hàng Cá nhân,['Hồ Chí Minh'],NGÂN HÀNG TMCP LỘC PHÁT VIỆT NAM (LPBANK),"Tầng 12, LPB Tower, 210 Trần Quang Khải, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",HR Dept,10.000-19.999,Cổ phần,10/12/2024,"Bán hàng / Kinh doanh , Kế toán / Kiểm toán , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,31/12/2024
Chuyên Viên Kế Toán M&A,"['Hồ Chí Minh', 'Hà Nội']",MINDX TECHNOLOGY SCHOOL,"Tầng 5, 71 Nguyễn Chí Thanh, Hà Nội",HR MindX,100-499,Cổ phần,04/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,15 Tr - 16 Tr VND,Trên 2 Năm,Nhân viên,19/12/2024
Trợ lý giám đốc,['Hồ Chí Minh'],CÔNG TY TNHH HAPPY AGRICO,"56/1/5 TTN08, P. Tân Thới Nhât, Q.12, Tp.HCM.",A. Tùng,25-99,Cá nhân,04/12/2024,Tài chính / Đầu tư,Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,08/12/2024
BUSINESS RISK SUPERVISOR - SALARY UP TO 25 MIL,[],,,,,,,,,,,,
Nhân viên Tư vấn - Chăm sóc khách hàng (HCM),['Hồ Chí Minh'],HỆ THỐNG ĐÀO TẠO LẬP TRÌNH VIÊN QUỐC TẾ APTECH,"Tầng 4, 285 Đội Cấn, Ba Đình, Hà Nội",Ms. Vân,100-499,Cổ phần,04/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Giáo dục / Đào tạo",Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,19/12/2024
Kỹ sư hệ thống (System Owner),"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY TNHH VIETTEL - CHT,"Tầng 16, Hapulico Center Building, Số 1 Nguyễn Huy Tưởng, Q.Thanh Xuân",Mrs Thảo,100-499,Trách nhiệm hữu hạn,04/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,20/12/2024
Senior Sales/ Sales Executive,['Hồ Chí Minh'],INDO TRANS LOGISTICS,"52 Trường Sơn, P. 2, Q. Tân Bình, HCMC",HR Department,,Cổ phần,02/12/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,17/12/2024
Nhân Viên Thu Ngân (Biết Tiếng Hàn),['Hồ Chí Minh'],NHÀ HÀNG PLAN-K BBQ THẢO ĐIỀN,"14A-5 Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,10-20,Trách nhiệm hữu hạn,03/12/2024,"Thực phẩm & Đồ uống , Kế toán / Kiểm toán , Nhà hàng / Khách sạn",Nhân viên chính thức,Lên đến 20 Tr VND,,Nhân viên,19/12/2024
Giám đốc Phát triển kinh doanh vùng (Mảng Khách hàng cá nhân),"['Hồ Chí Minh', 'Hà Nội']",NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần,09/12/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 8 Năm,Giám đốc,17/12/2024
Bác sĩ Chuyên khoa Tai Mũi Họng (Fulltime/Parttime),['Hồ Chí Minh'],DIAG,"414 - 420 Cao Thắng nối dài, P.12, Q.10, Tp.HCM",DIAG,,,04/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,Trên 20 Tr VND,Trên 3 Năm,Nhân viên,31/12/2024
Nhân Viên Kỹ Thuật - Sửa Chữa Điện Nước,['Hồ Chí Minh'],VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,"497 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh",GOBUY HR DEPARTMENT,25-99,Trách nhiệm hữu hạn,09/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,8 Tr - 12 Tr VND,2 - 5 Năm,Nhân viên,18/12/2024
[HOT JOB] Nhân Viên Kinh Doanh Phần Mềm Bán Hàng B2B/ Sàn TMĐT,"['Hồ Chí Minh', 'Hà Nội', 'Đà Nẵng']",CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,"60A Trường Sơn, P2, Tân Bình, TP. Hồ Chí Minh",Ms. Như,100-499,Trách nhiệm hữu hạn,02/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,10 Tr - 30 Tr VND,1 - 2 Năm,Nhân viên,18/12/2024
Bác sĩ Chuyên khoa Răng Hàm Mặt (Fulltime/Parttime),['Hồ Chí Minh'],DIAG,"414 - 420 Cao Thắng nối dài, P.12, Q.10, Tp.HCM",DIAG,,,04/12/2024,Y tế / Chăm sóc sức khỏe,"Nhân viên chính thức, Bán thời gian",Trên 20 Tr VND,Trên 3 Năm,Nhân viên,31/12/2024
Nhân viên Kinh doanh (Ca đêm),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN MAC MARKETING,"Số 699 Nguyễn Kiệm, Phường 03, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",HR MAC USA ONE,100-499,Công ty đa quốc gia,02/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,12 Tr - 60 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
Nhân Viên Xuất Nhập Khẩu (Tiếng Hàn),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN DỆT GIA DỤNG PHONG PHÚ,"Số 48 Tăng Nhơn Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Trần Thị Mộng Trinh,1.000-4.999,Cổ phần,02/12/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu , Dệt may / Da giày / Thời trang",Nhân viên chính thức,10 Tr - 20 Tr VND,Trên 2 Năm,Nhân viên,31/12/2024
Kế toán tổng hợp nội bộ kiêm bán hàng,['Hồ Chí Minh'],CÔNG TY CP CƠ KHÍ TÂN MINH,Tại Hà Nội - Đà Nẵng và Hồ Chí Minh theo địa chỉ ở trên,Nguyễn Thành Đức,100-499,Cổ phần,02/12/2024,"Hành chính / Thư ký , Kế toán / Kiểm toán , Bán hàng / Kinh doanh",Nhân viên chính thức,8 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024
Nhân Viên Kinh Doanh tại Thủ Đức,['Hồ Chí Minh'],,,,,,02/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Bất động sản",Nhân viên chính thức,8 Tr - 20 Tr VND,,Nhân viên,18/12/2024
25 NHÂN VIÊN KINH DOANH ĐI LÀM NGAY!,"['Hồ Chí Minh', 'Nghệ An', 'Hải Phòng']",CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NAM HƯNG VIỆT,"K7TT1-SH19, Khu đô thị Starlake, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",Ms. Phượng - adminwinbio@naviva.com.vn,25-99,Cổ phần,07/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,Trên 1 Năm,Nhân viên,15/12/2024
NHÂN VIÊN TRIỂN KHAI BẢN VẼ KỸ THUẬT NỘI THẤT - LÀM VIỆC TẠI PHÚ QUỐC VÀ ĐÀ LẠT - GẤP,"['Kiên Giang', 'Hồ Chí Minh']",ALLIANCE CONSTRUCTION AND TRADING COMPANY LIMITED,"NO. 56-58 Vo Oanh Street, Ward 25, Binh Thanh Dist",HR. Dept,1.000-4.999,,05/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Đồ gỗ , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,2 - 15 Năm,Nhân viên,31/12/2024
Nhân viên kế toán công nợ,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN HÓA MỸ PHẨM MỸ HẢO,"F1/35 (Hương Lộ 80) Vĩnh Lộc , Xã Vĩnh Lộc B,Huyện Bình Chánh, TP.HCM",P.HCNS,100-499,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Hàng gia dụng / Chăm sóc cá nhân , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,30/11/2024
"Nhân Viên Kinh Doanh - Quận 4, Quận 7, Quận 8, Nhà Bè, Bình Chánh",['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Bất động sản",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,30/11/2024
GIÁM ĐỐC KINH DOANH - BẠC LIÊU,"['Bạc Liêu', 'Sóc Trăng', 'Hồ Chí Minh']",VIETMEC - CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,"Số 139 Đường Hồng Tiến, P. Bồ Đề, Q. Long Biên, TP. Hà Nội",Phòng HCNS,,Cổ phần,05/12/2024,"Dược phẩm , Quản lý điều hành , Bán hàng / Kinh doanh",Nhân viên chính thức,"1,000 - 2,000 USD",5 - 10 Năm,Giám đốc,31/12/2024
Photophone - chụp hình thời trang,['Hồ Chí Minh'],CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NELLY FASHION,"86M Đường Hà Chương, Khu Phố 1 Phường Trung Mỹ Tây, Quận 12, TP Hồ Chí Minh.",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn,06/12/2024,Tiếp thị / Marketing,Nhân viên chính thức,13 Tr - 18 Tr VND,2 - 3 Năm,Nhân viên,13/12/2024
Chuyên viên SEO,['Hồ Chí Minh'],TẬP ĐOÀN MEGA HOLDINGS,34 Bạch Đằng Phường 2 Quận Tân Bình,Bộ Phận Nhân Sự,100-499,Cổ phần,05/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,30/11/2024
Chuyên viên kinh doanh Môi trường,['Hồ Chí Minh'],CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần,05/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Môi trường",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,12/12/2024
"Chuyên viên Khách hàng Cá nhân - Khu vực Hóc Môn, TP. Hồ Chí Minh (CN24.1519)",['Hồ Chí Minh'],NGÂN HÀNG TMCP QUÂN ĐỘI,"MB Tower, 18 Lê Văn Lương, Trung Hòa, Cầu Giấy, Hà Nội",Phòng Tuyển dụng,,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,9 Tr - 35 Tr VND,,Nhân viên,18/12/2024
Nhân Viên Thu Hồi Nợ Tại Hiện Trường (Miền Trung),"['Hồ Chí Minh', 'Bình Định', 'Bình Thuận']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,03/12/2024,"Bán hàng / Kinh doanh , Luật / Pháp lý , Bảo hiểm",Nhân viên chính thức,15 Tr - 40 Tr VND,,Nhân viên,12/12/2024
[ HCM] Nhân viên kinh doanh Tiếng Trung,['Hồ Chí Minh'],CÔNG TY TNHH SHANHAIMAP VIỆT NAM,186 Nguyễn Thị Minh Khai- Phường 6- Quận 3- TP Hồ Chí Minh,Recruitment team,10-20,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Tiếp thị trực tuyến , Tư vấn",Nhân viên chính thức,15 Tr - 25 Tr VND,,Nhân viên,12/12/2024
Nhân viên kinh doanh online,['Hồ Chí Minh'],CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU WJ,"733/2/13 Nguyễn Bình, Nhơn Đức, Nhà Bè",Phụng,Ít hơn 10,Trách nhiệm hữu hạn,03/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,24/01/2025
CHUYÊN VIÊN ĐÀO TẠO,['Hồ Chí Minh'],VASCARA GROUP,"Lầu 4, Tòa nhà ACM, số 96 Cao Thắng, P. 4, Q. 3, TP HCM",Team Tuyển dụng,500-999,Trách nhiệm hữu hạn,09/12/2024,"Giáo dục / Đào tạo , Nhân sự , Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/01/2025
Nhân Viên Kho Giao Hàng Tại TP. HCM,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN VACXIN VIỆT NAM,"198 Hoàng Văn Thụ, P. 9, Quận Phú Nhuận",Phòng Nhân Sự,,,09/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe , Vận chuyển / Giao nhận / Kho vận",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024
Quản Lý Cửa Hàng Tân Bình,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN VUA NỆM,"Số 1 Đào Duy Anh, Đống Đa, Hà Nội và 137 Lê Quang Định, Bình Thạnh, Hồ Chí Minh",HR Department,500-999,Cổ phần,06/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tư vấn",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Quản lý,06/01/2025
Call Center & Customer Service (Nhân Viên Tổng Đài & Chăm Sóc Khách Hàng),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN KING FOOD MARKET,"571 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, TP.HCM",Bộ phận tuyển dụng,1.000-4.999,Cổ phần,06/12/2024,"Bán lẻ / Bán sỉ , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 9 Tr VND,1 - 2 Năm,Nhân viên,05/01/2025
